test_id,ground_truth,majority_prediction,consistency_score,total_runs,prediction_distribution
0,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
1,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
2,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
3,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
4,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
5,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
6,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
7,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
8,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
9,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
10,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
11,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
12,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
13,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
14,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
15,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
16,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
17,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
18,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
19,1.0,1,0.75,4,"{np.int64(0): np.int64(1), np.int64(1): np.int64(3)}"
20,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
21,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
22,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
23,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
24,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
25,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
26,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
27,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
28,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
29,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
30,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
31,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
32,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
33,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
34,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
35,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
36,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
37,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
38,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
39,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
40,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
41,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
42,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
43,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
44,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
45,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
46,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
47,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
48,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
49,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
50,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
51,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
52,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
53,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
54,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
55,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
56,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
57,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
58,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
59,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
60,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
61,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
62,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
63,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
64,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
65,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
66,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
67,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
68,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
